state,n_viol,n_formal,lambda,in_downstream,pre95_lambda
MP,4739,0,0,FALSE,
05,1123,1,0.000890471950133571,FALSE,0
NV,6000,8,0.00133333333333333,FALSE,0.00198216055500496
AZ,78167,557,0.00712576918648535,FALSE,0.00379876796714579
NN,7218,79,0.0109448600720421,FALSE,0
AL,6096,111,0.0182086614173228,TRUE,0.0159680638722555
09,18201,336,0.0184605241470249,FALSE,0.0121951219512195
06,1176,22,0.0187074829931973,FALSE,0.135135135135135
MD,4461,123,0.0275722932078009,TRUE,0.0347903657448707
KY,17070,498,0.0291739894551845,TRUE,0.030880829015544
HI,944,30,0.0317796610169492,FALSE,0.0362537764350453
08,3417,113,0.0330699443956687,TRUE,0
DE,1640,71,0.0432926829268293,FALSE,0.0412782956058589
NH,17553,813,0.0463168689112972,FALSE,0.0484714954557973
VT,12390,644,0.0519774011299435,FALSE,0.0785145888594165
MS,7456,391,0.0524409871244635,FALSE,0.0564278704612365
ND,2432,128,0.0526315789473684,FALSE,0.0196850393700787
WA,52305,2972,0.0568205716470701,TRUE,0.168160800226479
ID,22061,1368,0.0620098816916731,FALSE,0.0798271548783261
UT,18962,1330,0.0701402805611223,TRUE,0.0815127124057749
FL,22256,1564,0.0702731847591661,TRUE,0.0440025054807391
AK,77773,5830,0.0749617476502128,FALSE,0.0675302925820116
RI,491,37,0.0753564154786151,FALSE,0.103703703703704
OR,47155,3782,0.0802035839253526,FALSE,0.067553735926305
MN,2356,191,0.0810696095076401,FALSE,0.0610756608933455
CO,16118,1328,0.0823923563717583,TRUE,0.0686980609418283
OH,44907,4238,0.0943728149286303,TRUE,0.0399491975522457
WI,28659,2818,0.0983286227712063,FALSE,0.0480638842850686
NY,37091,3709,0.0999973039281766,FALSE,0.0137555523713999
10,4369,448,0.1025406271458,FALSE,0.0077120822622108
VA,16051,1684,0.104915581583702,TRUE,0.116217320261438
NJ,26919,2837,0.1053902448085,FALSE,0.0771586037966932
PA,114023,12540,0.109977811494172,TRUE,0.0509917305242726
IL,36241,4007,0.110565381749952,TRUE,0.0713258949962352
NM,15539,1830,0.117768196151619,FALSE,0.0632192279679534
SD,21335,2706,0.126833841106164,FALSE,0.142193308550186
ME,10772,1398,0.129780913479391,FALSE,0.11318407960199
MI,5579,785,0.140706219752644,FALSE,0.0222222222222222
MT,21350,3026,0.141733021077283,FALSE,0.0722627737226277
NC,87298,12738,0.145913995738734,TRUE,0.0707634555382215
KS,8997,1418,0.157608091586084,TRUE,0.0430705105939562
WY,5184,818,0.157793209876543,FALSE,0.0458240946045824
TN,6735,1314,0.195100222717149,TRUE,0.0973404255319149
LA,6219,1257,0.202122527737578,TRUE,0.113197704747001
CA,14023,2883,0.205590815089496,FALSE,0.112093788564377
MO,18158,3767,0.20745676836656,FALSE,0.133891213389121
07,106,22,0.207547169811321,FALSE,0.105263157894737
TX,26715,5685,0.212801796743403,FALSE,0.123467730025107
NE,5346,1173,0.219416386083053,FALSE,0.106276150627615
IA,12235,2685,0.219452390682468,FALSE,0.295225055622112
AR,6292,1410,0.224094087730451,FALSE,0.185017026106697
GA,24464,6130,0.250572269457162,TRUE,0.217906517445688
IN,34355,8647,0.251695531945859,FALSE,0.181385060404969
WV,33064,8988,0.271836438422453,TRUE,0.185018528321863
CT,18020,5318,0.29511653718091,FALSE,0.0795553890345947
AS,954,347,0.363731656184486,FALSE,0
SC,11260,4432,0.39360568383659,TRUE,0.0286001003512293
OK,18726,9140,0.488091423688989,FALSE,0.190188496858386
04,291,161,0.553264604810997,FALSE,0.848314606741573
PR,42047,26319,0.625942397792946,FALSE,0.76747311827957
VI,198,125,0.631313131313131,FALSE,1
MA,18298,16185,0.884522898677451,FALSE,0.680308136735676
